clave,fecha,lat,lon,CRW_SST,CRW_SSTANOMALY,CRW_HOTSPOT,CRW_DHW,estado
2025-06-10|17.225|-62.625,2025-06-10,17.210861,-62.621944,28.240000000000002,0.87,-0.12,0.0,ok
2022-09-15|-16.475|-151.775,2022-09-15,-16.499417,-151.783972,26.5,-0.21,-2.44,0.0,ok
2021-07-30|5.875|102.725,2021-07-30,5.884056,102.747028,30.060000000000002,0.78,0.09,0.15,ok
2021-01-26|-18.725|147.075,2021-01-26,-18.701217,147.099917,28.48,0.05,-0.07,0.0,ok
2022-03-18|2.925|104.125,2022-03-18,2.902306,104.102472,29.02,0.64,-0.5700000000000001,0.0,ok
2021-05-18|-16.475|-151.775,2021-05-18,-16.499028,-151.757333,28.66,0.38,-0.28,0.0,ok
2023-07-11|2.875|104.175,2023-07-11,2.874278,104.187556,29.3,0.46,-0.29,0.0,ok
2023-06-10|5.725|115.675,2023-06-10,5.712806,115.672444,30.71,0.79,0.72,0.3,ok
2022-09-19|2.475|103.975,2022-09-19,2.456806,103.971639,28.650000000000002,0.01,-0.96,0.0,ok
2024-03-19|4.025|100.525,2024-03-19,4.002694,100.546694,30.76,1.49,1.0,1.18,ok
2022-09-05|4.925|118.225,2022-09-05,4.907389,118.243250,29.57,0.66,-0.18,0.0,ok
2023-05-15|6.725|116.325,2023-05-15,6.719861,116.340889,29.76,0.26,-0.21,0.0,ok
2024-09-07|4.975|118.275,2024-09-07,4.963028,118.252750,30.03,1.11,0.29,0.0,vecino
2021-02-23|18.475|-77.925,2021-02-23,18.466361,-77.947361,27.240000000000002,0.5700000000000001,-2.06,0.0,ok
2021-11-07|-23.425|151.925,2021-11-07,-23.443111,151.909389,24.48,0.54,-2.64,0.0,ok
2024-05-24|2.675|103.875,2024-05-24,2.692580,103.879590,30.42,0.9,0.8,7.5600000000000005,ok
2025-02-01|19.625|-156.025,2025-02-01,19.643667,-156.015667,25.51,0.86,-1.73,0.0,ok
2022-10-02|5.775|102.925,2022-10-02,5.787500,102.902444,29.88,0.9400000000000001,-0.05,0.0,ok
2025-09-23|6.575|117.925,2025-09-23,6.562111,117.920167,30.2,0.92,0.8,0.0,ok
2025-08-24|20.075|-155.875,2025-08-24,20.080056,-155.867306,27.0,0.05,-0.18,0.0,ok
2024-12-13|7.025|116.725,2024-12-13,7.049444,116.744417,29.6,1.35,-0.27,0.0,ok
2022-05-08|-16.475|-151.775,2022-05-08,-16.457028,-151.775806,28.55,0.11,-0.39,0.0,ok
2021-08-27|5.625|103.175,2021-08-27,5.643583,103.151056,29.54,0.65,-0.31,0.0,ok
2025-10-13|3.925|73.475,2025-10-13,3.903694,73.457361,29.42,1.18,-0.25,0.0,ok
2022-12-16|7.075|117.025,2022-12-16,7.092722,117.025778,28.96,0.74,-0.8,0.0,ok
2024-08-18|2.475|103.975,2024-08-18,2.476028,103.965361,29.54,1.02,-0.07,0.0,ok
2021-11-20|-8.675|115.475,2021-11-20,-8.684917,115.465611,29.17,0.93,0.6900000000000001,0.33,ok
2023-03-25|11.325|-60.575,2023-03-25,11.325667,-60.594556,26.59,0.19,-1.8800000000000001,0.0,ok
2021-12-09|-16.475|-151.775,2021-12-09,-16.499028,-151.757333,28.150000000000002,0.4,-0.79,0.0,ok
2022-08-24|6.525|117.925,2022-08-24,6.520389,117.929583,29.650000000000002,0.36,0.24,0.92,ok
2021-03-24|-16.575|-151.775,2021-03-24,-16.551472,-151.778389,29.26,0.38,0.32,0.0,ok
2024-03-09|22.675|39.025,2024-03-09,22.679722,39.021111,25.26,0.61,-5.39,0.0,ok
2025-02-20|-8.725|115.875,2025-02-20,-8.746611,115.892361,28.76,0.36,0.07,1.2,ok
2023-02-18|-8.325|116.025,2023-02-18,-8.337639,116.037639,28.09,-0.37,-0.98,0.45,ok
2025-05-13|-8.675|115.525,2025-05-13,-8.676389,115.530028,29.580000000000002,1.44,1.03,2.08,ok
2023-11-04|5.175|115.125,2023-11-04,5.179944,115.148139,30.8,1.57,1.05,2.2600000000000002,ok
2023-07-31|5.775|103.025,2023-07-31,5.799500,103.016944,29.91,0.77,-0.01,1.44,ok
2022-09-05|4.925|118.275,2022-09-05,4.923972,118.266722,29.55,0.64,-0.19,0.0,ok
2026-01-27|9.575|-79.675,2026-01-27,9.565056,-79.695500,27.79,0.9400000000000001,-0.71,0.0,ok
2024-05-17|4.225|118.625,2024-05-17,4.248694,118.625472,30.47,1.25,1.24,3.17,ok
2024-07-06|4.825|103.675,2024-07-06,4.815528,103.680389,29.97,1.03,0.37,9.34,ok
2022-10-16|-18.625|147.075,2022-10-16,-18.613000,147.068550,27.150000000000002,1.84,-1.35,0.0,ok
2021-09-19|-16.475|-151.775,2021-09-19,-16.499417,-151.783972,26.71,-0.04,-2.23,0.0,ok
2022-03-21|2.875|104.175,2022-03-21,2.874278,104.187556,29.21,0.74,-0.38,0.0,ok
2025-12-23|18.325|-65.575,2025-12-23,18.348361,-65.572889,27.82,1.19,-0.73,4.3,ok
2023-06-11|4.225|118.625,2023-06-11,4.237028,118.627361,29.12,0.04,-0.11,2.72,ok
2025-03-04|-16.525|-151.725,2025-03-04,-16.534778,-151.729861,29.46,0.68,0.52,0.0,vecino
2022-10-01|-4.525|129.925,2022-10-01,-4.513056,129.944722,29.0,1.75,-0.18,0.0,ok
2022-09-18|2.425|103.975,2022-09-18,2.444528,103.988500,28.82,0.19,-0.79,0.0,ok
2023-07-14|6.075|100.025,2023-07-14,6.056194,100.035944,30.76,0.9400000000000001,0.39,1.17,ok
2024-07-18|-8.675|115.475,2024-07-18,-8.682308,115.483022,28.060000000000002,1.23,-0.42,0.87,ok
2024-07-26|25.675|-79.325,2024-07-26,25.662611,-79.307667,30.27,0.93,0.81,1.04,ok
2021-02-25|-27.325|153.225,2021-02-25,-27.347222,153.243167,26.73,0.93,0.43,0.3,ok
2025-04-18|19.625|-156.025,2025-04-18,19.646694,-156.019778,25.51,0.84,-1.73,0.0,ok
2024-05-07|5.725|115.675,2024-05-07,5.708611,115.653250,31.060000000000002,1.6600000000000001,1.07,1.42,ok
2024-05-14|4.575|118.575,2024-05-14,4.564639,118.593194,30.63,1.23,1.22,4.53,ok
2022-12-11|14.425|-60.875,2022-12-11,14.446806,-60.892306,27.55,0.27,-0.79,0.15,ok
2024-11-09|-4.525|129.875,2024-11-09,-4.512000,129.890028,29.39,0.53,0.21,0.0,ok
2025-06-05|-16.475|-151.775,2025-06-05,-16.457028,-151.775806,28.76,0.92,-0.18,0.0,ok
2023-07-08|2.925|104.125,2023-07-08,2.914861,104.108444,29.650000000000002,0.78,0.06,0.0,ok
2025-10-09|3.475|72.825,2025-10-09,3.494639,72.823278,29.78,1.42,0.26,0.0,ok
2023-06-14|2.625|103.875,2023-06-14,2.648111,103.886944,28.82,-0.47000000000000003,-0.8,0.48,ok
2022-06-04|5.225|103.275,2022-06-04,5.208833,103.269500,29.72,0.27,0.06,0.17,ok
2023-09-14|4.975|118.275,2023-09-14,4.967111,118.264028,30.23,1.27,0.49,0.0,vecino
